Trial,ESN,Name,Lat,Lng,Timestamp,Datetime,Order ,ID ,,,,
3,331254,UNHCMB,43.116134,-70.835702,1341271560,7/2/12 19:26,198,LB22,,,,,0.02389189939675984
3,331254,UNHCMB,43.116263,-70.835702,1341269760,7/2/12 18:56,199,LB22,,,,,0.014335139637631777
3,331254,UNHCMB,43.116349,-70.835788,1341267960,7/2/12 18:26,200,LB22,,,,,0.011832075155129185
3,331254,UNHCMB,43.11637,-70.835702,1341266460,7/2/12 18:01,201,LB22,,,,,0.007356091153065385
3,331254,UNHCMB,43.116381,-70.835702,1341264300,7/2/12 17:25,202,LB22,,,,,0.0012223762473975164
3,331254,UNHCMB,43.116714,-70.835445,1341262500,7/2/12 16:55,203,LB22,,,,,0.04247293255380078
3,331254,UNHCMB,43.11636,-70.835702,1341260760,7/2/12 16:26,204,LB22,,,,,0.044520850782417666
3,331254,UNHCMB,43.116328,-70.83566,1341259260,7/2/12 16:01,205,LB22,,,,,0.0049246752275043425
3,331254,UNHCMB,43.116328,-70.835702,1341257460,7/2/12 15:31,206,LB22,,,,,0.0034069444296721024
3,331254,UNHCMB,43.116263,-70.835681,1341255300,7/2/12 14:55,207,LB22,,,,,0.007421284390579221
3,331254,UNHCMB,43.116338,-70.835724,1341253500,7/2/12 14:25,208,LB22,,,,,0.00903485124643597
3,331254,UNHCMB,43.11637,-70.836732,1341251700,7/2/12 13:55,209,LB22,,,,,0.081843919774235
3,331254,UNHCMB,43.116338,-70.835745,1341249960,7/2/12 13:26,210,LB22,,,,,0.0801420911088139
3,331254,UNHCMB,43.116338,-70.835767,1341248160,7/2/12 12:56,211,LB22,,,,,0.0017845896480613128
3,331254,UNHCMB,43.116349,-70.835702,1341246300,7/2/12 12:25,212,LB22,,,,,0.005412490159413816
3,331254,UNHCMB,43.11637,-70.835702,1341244560,7/2/12 11:56,213,LB22,,,,,0.0023336273837086807
3,331254,UNHCMB,43.116381,-70.835681,1341242760,7/2/12 11:26,214,LB22,,,,,0.0020966680174597874
3,331254,UNHCMB,43.11636,-70.835724,1341240960,7/2/12 10:56,215,LB22,,,,,0.004196710314486414
3,331254,UNHCMB,43.116317,-70.835724,1341239160,7/2/12 10:26,216,LB22,,,,,0.0047783798792105925
3,331254,UNHCMB,43.116306,-70.835745,1341237360,7/2/12 9:56,217,LB22,,,,,0.002096669465380243
3,331254,UNHCMB,43.116349,-70.835702,1341236160,7/2/12 9:36,218,LB22,,,,,0.005916036855019181
3,331254,UNHCMB,43.116328,-70.83566,1341233760,7/2/12 8:56,219,LB22,,,,,0.004129537882488075
3,331254,UNHCMB,43.116124,-70.83302,1341231960,7/2/12 8:26,220,LB22,,,,,0.21534767751904138
3,331254,UNHCMB,43.116328,-70.835681,1341230100,7/2/12 7:55,221,LB22,,,,,0.21704176170132053
3,331254,UNHCMB,43.116317,-70.835724,1341226500,7/2/12 6:55,222,LB22,,,,,0.0036960497131129566
3,331254,UNHCMB,43.11857,-70.835745,1341225060,7/2/12 6:31,223,LB22,,,,,0.2503706755562447
3,331254,UNHCMB,43.116392,-70.835724,1341222960,7/2/12 5:56,224,LB22,,,,,0.24203649158257212
3,331254,UNHCMB,43.11637,-70.835702,1341221100,7/2/12 5:25,225,LB22,,,,,0.003026808632929034
3,331254,UNHCMB,43.117218,-70.833471,1341219660,7/2/12 5:01,226,LB22,,,,,0.20403682433659734
3,331254,UNHCMB,43.116338,-70.835702,1341217560,7/2/12 4:26,227,LB22,,,,,0.20570338244882633
3,331254,UNHCMB,43.111671,-70.840766,1341215700,7/2/12 3:55,228,LB22,,,,,0.6616047112252145
3,331254,UNHCMB,43.116338,-70.835702,1341214560,7/2/12 3:36,229,LB22,,,,,0.6616047112252145
3,331254,UNHCMB,N/A,N/A,1341212160,7/2/12 2:56,230,LB22,,,,
3,331254,UNHCMB,43.117744,-70.834866,1341210660,7/2/12 2:31,231,LB22,,,,,0.17032387495441567
3,331254,UNHCMB,43.116349,-70.835702,1341208560,7/2/12 1:56,232,LB22,,,,,0.16920325930116725
3,331254,UNHCMB,43.11636,-70.83566,1341206760,7/2/12 1:26,233,LB22,,,,,0.003619594450424876
3,331254,UNHCMB,43.116328,-70.835745,1341204960,7/2/12 0:56,234,LB22,,,,,0.007757979941245461
3,331254,UNHCMB,43.116338,-70.835702,1341203160,7/2/12 0:26,235,LB22,,,,,0.0036607997344946593
3,331254,UNHCMB,43.116338,-70.835702,1341201300,7/1/12 23:55,236,LB22,,,,,0.0
3,331254,UNHCMB,43.116328,-70.835702,1341199560,7/1/12 23:26,237,LB22,,,,,0.0011112511341905273
3,331254,UNHCMB,43.116349,-70.83566,1341197760,7/1/12 22:56,238,LB22,,,,,0.004129537882488075
3,331254,UNHCMB,43.116392,-70.835681,1341196260,7/1/12 22:31,239,LB22,,,,,0.005072940746988836
3,331254,UNHCMB,43.116349,-70.835745,1341194160,7/1/12 21:56,240,LB22,,,,,0.0070558419739903434
3,331254,UNHCMB,43.116349,-70.835681,1341192660,7/1/12 21:31,241,LB22,,,,,0.005191532589808674
3,331254,UNHCMB,43.116531,-70.837033,1341190500,7/1/12 20:55,242,LB22,,,,,0.1115202288366569
3,331254,UNHCMB,43.116338,-70.835702,1341188700,7/1/12 20:25,243,LB22,,,,,0.11007707259976143
3,331254,UNHCMB,43.118742,-70.835295,1341186900,7/1/12 19:55,244,LB22,,,,,0.26917702537802995
3,331254,UNHCMB,43.116703,-70.837119,1341185100,7/1/12 19:25,245,LB22,,,,,0.27061253691064036
